"Code","SciName","Match_category","HS_version","Description","Modification","sciname_habitat","code_habitat"
"030616","crangon crangon","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine"
"030616","pandalus borealis","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus goniurus","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus hypsinotus","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus jordani","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus kessleri","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus montagui","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","pandalus platyceros","explicit_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine"
"030616","crangonidae","broad_taxa_match","HS12","crustaceans; frozen, cold-water shrimps and prawns (pandalus spp., crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","",NA,"marine"
"030617","acetes erythraeus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","acetes japonicus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","aristaeomorpha foliacea","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","aristaeopsis edwardsiana","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","aristeus antennatus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","aristeus varidens","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","artemesia longinaris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus aztecus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus brasiliensis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus brevirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus californiensis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus duorarum","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","farfantepenaeus notialis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","haliporoides diomedeae","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","haliporoides triarthrus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","heterocarpus reedi","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","litopenaeus occidentalis","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","litopenaeus schmitti","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","litopenaeus setiferus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","litopenaeus stylirostris","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","litopenaeus vannamei","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","marsupenaeus japonicus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
"030617","melicertus kerathurus","explicit_taxa_match","HS12","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water","","marine","marine.diadromous"
